Vin,Make_Type,Reg_Class,Body,Segment,Make,Model,Trim,Odometer,sprice,Year,BuyHere,Seller,seller_address,Seller_City,Seller_State,Seller_Zip,Pump,Owner_City,Owner_State,Owner_Zip,Newused,data_yrmon,state_data,LienHolder,Fleet,fuel_type_txt,Lease,Alternative_Fuel,DealerType,Type,countynum,county_name
1FTEW1E51JFB70364,Domestic,Truck,PU,FULL-SIZED PICKUP,Ford,F-150,King Ranch,99213,43580,2018,,Johnson Brothers Ford Lincoln,7455 S General Bruce Dr,Temple,TX,76503,P24362,Chilton,TX,76632,Used,202201,TX,WELLS FARGO BANK,,,,Gas,Pump-In Dealer,Franchise,,Falls
1FTEW1E52JKF91744,Domestic,Truck,PU,FULL-SIZED PICKUP,Ford,F-150,King Ranch,98874,35319,2018,,Johnson Brothers Ford Lincoln,7455 S General Bruce Dr,Temple,TX,76503,P24362,Chilton,TX,76632,Used,202201,TX,GM FINANCIAL,,,,Gas,Pump-In Dealer,Franchise,,Falls
KL8CB6SA8KC800670,Domestic,Car,4D,SUBCOMPACT,Chevrolet,Spark,LS CVT,20795,16904,2019,,Volkswagen of Waco,2301 W Loop 340,Waco,TX,76712,P151525,Chilton,TX,76632,Used,202201,TX,WELLS FARGO BANK,,,,Gas,Local Dealer,Franchise,,Falls
1GCPYFED1KZ233695,Domestic,Truck,PU,FULL-SIZED PICKUP,Chevrolet,Silverado 1500,LT Trail Boss,39140,53207,2019,,Shottenkirk Toyota Granbury,5100 E Highway 377,Granbury,TX,76049,P152522,Chilton,TX,76632,Used,202201,TX,PNC BANK,,,,Gas,Pump-In Dealer,Franchise,,Falls
1D7HA18Z22J266664,Domestic,Truck,PU,FULL-SIZED PICKUP,Dodge,Ram 1500,SLT,EXEMPT,900,2002,,TLC Motor Cars,331 West Gulf Bank Rd,Houston,TX,77037,P157370,Chilton,TX,76632,Used,202201,TX,,,,,Gas,Pump-In Dealer,Independent,,Falls
3C6UR5CL6KG581648,Domestic,Truck,PU,MEDIUM & HEAVY TRUCK,Ram,2500,Tradesman,70124,48995,2019,,Jeff Hunter Toyota,1440 W Loop 340,Waco,TX,76712,P19658,Chilton,TX,76632,Used,202201,TX,TOYOTA MOTOR CREDIT CO,,,,Gas,Local Dealer,Franchise,,Falls
1GNALDEK7EZ118022,Domestic,Truck,UT,COMPACT SPORT-UTILITY,Chevrolet,Equinox,LTZ,101069,15947,2014,,Greg May Honda,1601 W Loop 340,Waco,TX,76712,P20463,Chilton,TX,76632,Used,202201,TX,TEXELL CU,,,,Gas,Local Dealer,Franchise,,Falls
3CZRE38599G700273,Import,Truck,UT,COMPACT SPORT-UTILITY,Honda,CR-V,EX,EXEMPT,9879,2009,,Greg May Honda,1601 W Loop 340,Waco,TX,76712,P20463,Chilton,TX,76632,Used,202201,TX,,,,,Gas,Local Dealer,Franchise,,Falls
3GCPCRECXJG430872,Domestic,Truck,PU,FULL-SIZED PICKUP,Chevrolet,Silverado 1500,LT,28421,34673,2018,,AutoNation Chevrolet Waco,1625 N. Valley Mills Drive,Waco,TX,76710,P8111,Chilton,TX,76632,Used,202201,TX,WELLS FARGO BANK,,,,Gas,Local Dealer,Franchise,,Falls
1G2AL15F377259733,Domestic,Car,CP,SUBCOMPACT,Pontiac,G5,Base,EXEMPT,1000,2007,,FAA Truck & Auto Sales,1100 Elaine Pl #100,Fort Worth,TX,76106,94532,Chilton,TX,76632,Used,202201,TX,,,,,Gas,Pump-In Dealer,Independent,,Falls
1ZVBP8CF1D5241168,Domestic,Car,CP,SPORTY,Ford,Mustang,GT,138737,17995,2013,,Granger Auto Sales,104 E Ward Ave,Waco,TX,76706,P136667,Chilton,TX,76632,Used,202201,TX,MEMBERS CHOICE CU,,,,Gas,Local Dealer,Independent,,Falls
JA4APUAU1MU028276,Import,Car,SW,SMALL SPORT UTILITY,Mitsubishi,Outlander Sport,ES,6739,30898,2021,,Volkswagen of Waco,2301 W Loop 340,Waco,TX,76712,P151525,Chilton,TX,76632,Used,202201,TX,REGIONAL ACCEPTANCE CO,,,,Gas,Local Dealer,Franchise,,Falls
